<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.12	03:45:00	157.192	157.217	157.086	157.181	665	0	0
2024.06.12	04:00:00	157.179	157.233	157.113	157.128	540	0	2
2024.06.12	04:15:00	157.128	157.164	157.102	157.130	441	0	2
2024.06.12	04:30:00	157.130	157.133	157.045	157.124	513	0	2
2024.06.12	04:45:00	157.123	157.137	157.050	157.137	467	0	0
2024.06.12	05:00:00	157.137	157.168	157.132	157.143	270	0	2
2024.06.12	05:15:00	157.141	157.147	157.094	157.132	263	0	2
2024.06.12	05:30:00	157.131	157.172	157.129	157.158	277	0	2
2024.06.12	05:45:00	157.158	157.188	157.152	157.186	257	0	0
2024.06.12	06:00:00	157.185	157.209	157.161	157.190	248	0	2
2024.06.12	06:15:00	157.191	157.206	157.174	157.202	253	0	2
2024.06.12	06:30:00	157.201	157.212	157.178	157.195	273	0	2
2024.06.12	06:45:00	157.195	157.196	157.176	157.181	179	0	0
2024.06.12	07:00:00	157.180	157.192	157.130	157.137	129	0	1
2024.06.12	07:15:00	157.142	157.206	157.142	157.195	185	0	1
2024.06.12	07:30:00	157.194	157.252	157.190	157.216	261	0	1
2024.06.12	07:45:00	157.215	157.243	157.214	157.243	175	0	0
2024.06.12	08:00:00	157.242	157.256	157.229	157.231	185	0	1
2024.06.12	08:15:00	157.232	157.232	157.194	157.230	191	0	1
2024.06.12	08:30:00	157.231	157.285	157.231	157.280	269	0	1
2024.06.12	08:45:00	157.281	157.286	157.219	157.245	216	0	0
2024.06.12	09:00:00	157.244	157.290	157.225	157.252	432	0	0
2024.06.12	09:15:00	157.252	157.265	157.188	157.202	405	0	0
2024.06.12	09:30:00	157.201	157.246	157.201	157.231	424	0	0
2024.06.12	09:45:00	157.232	157.295	157.231	157.291	447	0	0
2024.06.12	10:00:00	157.281	157.342	157.275	157.338	395	0	0
2024.06.12	10:15:00	157.339	157.357	157.275	157.305	416	0	0
2024.06.12	10:30:00	157.305	157.342	157.294	157.313	492	0	1
2024.06.12	10:45:00	157.314	157.316	157.255	157.269	449	0	0
2024.06.12	11:00:00	157.269	157.299	157.255	157.278	491	0	0
2024.06.12	11:15:00	157.278	157.304	157.278	157.302	281	0	1
2024.06.12	11:30:00	157.302	157.315	157.290	157.301	314	0	1
2024.06.12	11:45:00	157.300	157.308	157.279	157.302	232	0	0
2024.06.12	12:00:00	157.302	157.322	157.264	157.275	273	0	1
2024.06.12	12:15:00	157.274	157.303	157.251	157.302	186	0	1
2024.06.12	12:30:00	157.302	157.325	157.298	157.305	304	0	1
2024.06.12	12:45:00	157.305	157.327	157.297	157.318	287	0	1
2024.06.12	13:00:00	157.316	157.346	157.301	157.346	268	0	1
2024.06.12	13:15:00	157.346	157.363	157.331	157.354	268	0	1
2024.06.12	13:30:00	157.356	157.370	157.330	157.354	312	0	1
2024.06.12	13:45:00	157.354	157.357	157.313	157.326	338	0	1
2024.06.12	14:00:00	157.326	157.365	157.325	157.351	382	0	1
2024.06.12	14:15:00	157.351	157.354	157.309	157.319	371	0	0
2024.06.12	14:30:00	157.318	157.351	157.303	157.340	425	0	0
2024.06.12	14:45:00	157.340	157.352	157.314	157.334	352	0	0
2024.06.12	15:00:00	157.334	157.351	157.257	157.267	449	0	1
2024.06.12	15:15:00	157.265	157.286	157.173	157.216	651	0	1
2024.06.12	15:30:00	156.696	156.736	156.315	156.340	1356	0	0
2024.06.12	15:45:00	156.337	156.417	156.066	156.157	1211	0	0
2024.06.12	16:00:00	156.164	156.173	155.950	155.986	1260	0	1
2024.06.12	16:15:00	155.984	156.130	155.797	155.819	1000	0	0
